date,carat
2020-01-27,321.75
2020-02-03,318.75
2020-02-10,337.220001
2020-02-17,338.769989
2020-02-24,320
2020-03-02,279.540009
2020-03-09,238
2020-03-16,149.419998
2020-03-23,98.75
2020-03-30,153.809998
2020-04-06,133.699997
2020-04-13,155.5
2020-04-20,147.210007
2020-04-27,129.970001
2020-05-04,127.120003
2020-05-11,130.919998
2020-05-18,126.18
2020-05-25,145.210007
2020-06-01,145.449997
2020-06-08,222.940002
2020-06-15,177.179993
2020-06-22,184.559998
2020-06-29,181
2020-07-06,184.520004
2020-07-13,180.199997
2020-07-20,175.130005
2020-07-27,173.190002
2020-08-03,156.509995
2020-08-10,171.360001
2020-08-17,178.240005
2020-08-24,168.779999
2020-08-31,174.649994
2020-09-07,165.800003
2020-09-14,161.75
2020-09-21,157.830002
2020-09-28,160.330002
2020-10-05,169.490005
2020-10-12,167.75
2020-10-19,169.089996
2020-10-26,164.949997
2020-11-02,145.75
2020-11-09,179
2020-11-16,194.559998
2020-11-23,203.240005
2020-11-30,215.699997
2020-12-07,238.5
2020-12-14,235
2020-12-21,212.339996
2020-12-28,218.190002
