price,carat
1749,0.51
7069,2.25
2757,0.7
1243,0.47
789,0.3
728,0.33
18398,2.01
2203,0.51
15100,1.7
1857,0.53
834,0.39
7708,1.5
6272,1
5676,1.29
16776,2.01
7404,1.13
1702,0.7
606,0.38
5423,1.17
8033,1.51
1279,0.4
863,0.41
1893,0.51
3584,1
10196,1.09
1082,0.39
3024,0.72
5593,1.14
710,0.3
465,0.3
2188,0.71
5192,1.22
9562,1.53
1436,0.5
1087,0.42
6727,1.22
552,0.3
525,0.25
579,0.33
6741,1.2
3205,0.7
802,0.31
1107,0.41
3200,0.9
5987,1.44
2218,0.7
788,0.35
1595,0.54
13818,1.71
6244,1.01
935,0.43
3304,0.71
602,0.32
6891,1.13
3639,0.91
5278,1.02
1094,0.36
776,0.3
863,0.3
2475,0.77
815,0.4
2513,0.7
1075,0.4
1401,0.58
5656,1.01
8164,1.3
413,0.34
802,0.33
6121,1.22
452,0.26
1608,0.57
4137,1.01
544,0.31
4617,1.01
1234,0.51
1210,0.42
408,0.31
642,0.28
854,0.42
1555,0.5
4240,0.79
4928,1.03
4182,0.73
4606,1.01
6774,1.12
17826,2.01
718,0.36
5460,1
11640,1.51
3293,0.8
1753,0.53
18215,2.09
4004,1.01
1636,0.58
3247,0.7
6098,1
626,0.36
3872,1.1
4760,1
1389,0.56
3480,0.96
692,0.37
5779,0.92
959,0.33
1129,0.51
4039,0.77
1192,0.41
1028,0.44
7162,1.24
1384,0.57
1024,0.39
2142,0.6
2447,0.8
5486,1.01
2319,0.71
607,0.29
701,0.38
2905,0.91
1450,0.51
2546,0.77
7654,1.58
1431,0.51
1141,0.33
3330,0.7
11628,1.51
405,0.3
5127,1.09
7256,1.23
1076,0.5
2554,0.71
2691,0.72
854,0.33
9576,1.52
9116,1.23
1829,0.54
828,0.32
8767,1.31
5648,1.11
4283,1.03
1131,0.56
5601,1.29
1577,0.53
11257,1.7
615,0.3
828,0.32
10763,1.51
1016,0.43
620,0.3
11548,3
1944,0.75
4617,0.9
1785,0.58
4619,1.01
484,0.3
3053,0.79
2233,0.71
4525,1.01
10453,1.01
5687,1.01
7795,1.2
470,0.27
1616,0.56
1431,0.41
3740,0.72
1363,0.55
1015,0.41
1026,0.3
8252,1.01
611,0.4
920,0.4
446,0.31
787,0.39
2210,0.71
5262,1.11
6479,1.02
886,0.33
18193,2.2
14080,2.02
1436,0.56
9545,1.08
10739,1.51
5538,1.15
5975,1.25
995,0.4
2688,0.76
7964,1.01
4989,1.2
5778,1.34
596,0.34
1363,0.53
1001,0.35
462,0.23
5606,1
15760,2.04
4794,1.01
778,0.31
969,0.41
7179,1.11
4939,1.05
1424,0.51
1073,0.38
580,0.35
3338,0.72
499,0.3
625,0.31
7070,1.05
812,0.38
7056,1
449,0.32
1401,0.55
1963,0.56
663,0.31
946,0.33
10869,1.72
6670,1.01
12713,2.02
9160,1.05
540,0.24
1255,0.39
756,0.32
517,0.32
2320,0.73
1240,0.54
1607,0.52
1806,0.5
936,0.31
5072,1.22
5588,1.27
3175,0.7
7222,1.24
5599,1.01
3075,0.7
4997,1.1
658,0.3
14654,1.51
17360,1.7
1289,0.42
626,0.36
2298,0.74
2286,0.61
1896,0.55
4739,1
4243,1.02
4732,1
854,0.33
802,0.31
9432,1.16
5743,1.17
1364,0.62
476,0.31
991,0.41
7207,1.04
2671,0.7
614,0.33
8347,1.5
2298,0.6
7190,1.2
544,0.31
2681,0.7
9370,1.2
745,0.37
773,0.42
2241,0.83
552,0.3
732,0.32
477,0.34
2905,0.7
5052,0.88
1634,0.55
464,0.27
4884,1.14
4494,1.05
473,0.3
7365,1.5
9038,1.91
1232,0.44
4609,1.07
1690,0.5
1061,0.41
2536,0.7
1031,0.38
13536,1.25
1374,0.5
364,0.24
4570,1.06
2863,0.83
766,0.3
2528,0.6
1176,0.5
3295,0.9
675,0.3
593,0.31
13787,1.56
3123,0.71
3497,1.51
7528,1.01
680,0.38
12940,2
6460,1.03
1748,0.52
979,0.39
12987,2
605,0.3
5599,1.01
816,0.31
8430,1.12
605,0.3
1088,0.4
3669,0.9
2363,0.71
1241,0.54
4612,0.9
2348,0.79
13140,1.6
4374,1.03
1134,0.55
3732,0.8
875,0.41
382,0.26
544,0.31
4629,1.09
911,0.3
4273,1.11
2469,0.62
1837,0.59
1723,0.56
4032,0.57
5292,1
6173,1.04
2000,0.7
2407,0.7
5012,1.13
17936,1.51
2455,0.71
1064,0.43
1368,0.55
8969,1.54
4620,1
14652,2.5
4761,1
4783,1.01
4718,1.02
505,0.32
7508,1.71
707,0.31
946,0.33
1438,0.52
11189,1.5
567,0.3
878,0.3
1795,0.5
2065,0.52
1613,0.47
6559,1.3
871,0.31
626,0.34
3777,1.01
4281,0.64
489,0.31
2196,0.7
3062,0.7
9225,1.17
564,0.26
7084,1
667,0.4
4657,1
1102,0.47
745,0.34
579,0.33
1670,0.52
6797,1.02
10055,1.71
6257,1.01
8624,1.4
5192,1.05
1018,0.32
5624,1.21
5501,1.14
606,0.4
4185,1.01
1200,0.4
5916,1.52
2814,0.76
1011,0.5
780,0.28
5315,1.11
700,0.38
6040,1
1605,0.56
995,0.34
3123,0.82
4507,1.04
1865,0.47
5100,1.02
6047,1.02
719,0.41
1158,0.44
1654,0.5
3780,1
12766,2.05
2698,0.75
3214,0.95
1438,0.51
405,0.3
7147,1.19
2974,1
10798,1.6
838,0.38
1002,0.33
3630,0.8
13107,1.5
956,0.3
605,0.3
620,0.27
1417,0.46
8388,1.51
7192,1.03
668,0.33
4559,1.01
1050,0.4
3648,0.8
2382,0.71
880,0.34
1235,0.5
11870,1.22
1764,0.59
3613,0.78
9942,1.21
795,0.33
478,0.35
4931,1.19
8099,1.25
5704,1.07
3048,0.75
8794,1.51
14744,2.3
2670,0.72
829,0.35
689,0.34
4072,1.01
3706,0.9
4218,1
4314,0.81
5050,1.13
616,0.3
1046,0.31
675,0.3
4773,1.23
17891,2.16
4709,1.11
1847,0.54
6909,1.02
7577,1.51
3195,0.73
5012,1.03
7513,1.07
626,0.34
1234,0.5
2220,1.03
1404,0.4
2818,0.7
8110,1.52
13267,2.02
622,0.4
3861,0.79
1244,0.47
463,0.33
4404,1.21
1601,0.51
4803,1.01
2519,0.77
4525,1.01
1734,0.62
421,0.31
13790,2.04
705,0.41
10669,1.26
1033,0.36
2694,0.71
882,0.42
707,0.31
6048,1
682,0.31
6843,1.01
2396,0.71
7779,1.02
2581,0.73
982,0.4
1323,0.5
6451,1.28
3539,0.91
5866,1.21
336,0.24
995,0.38
4358,0.9
4263,0.8
487,0.28
6333,1.02
1836,0.51
2691,0.72
4022,0.9
8313,1.22
926,0.4
2371,0.8
3247,0.71
2394,0.7
5450,1.11
2337,0.7
756,0.42
949,0.36
988,0.38
7389,1.02
2025,0.5
8640,1.07
8631,1.52
2575,0.7
5096,1
17052,1.71
1343,0.51
882,0.3
1625,0.6
6303,1
3398,0.9
2171,0.7
1244,0.52
3977,1.23
4185,1.01
1454,0.52
1069,0.38
16733,2.01
2031,0.81
1768,0.55
410,0.36
8637,1.51
890,0.43
7854,2.5
12798,1.5
10553,1.51
641,0.34
2275,0.79
6040,1.07
4363,1.05
1254,0.59
3078,0.72
3941,0.93
4029,0.71
684,0.3
1641,0.58
2631,0.74
1270,0.56
677,0.4
1705,0.96
828,0.32
615,0.34
672,0.45
4242,1.01
14486,1.5
984,0.35
8276,1.5
818,0.41
9738,1.24
1713,0.71
1128,0.4
482,0.26
471,0.29
6595,1.28
16181,2.3
4190,1.04
982,0.5
5021,1.39
1546,0.51
789,0.36
732,0.31
789,0.31
4255,1
5599,1.01
4119,0.9
3427,1.02
4242,1.01
10819,1.51
827,0.41
1221,0.42
5431,1.21
575,0.25
701,0.5
12734,1.3
849,0.39
842,0.4
1012,0.57
5268,1.2
1122,0.5
2586,0.71
1695,0.54
14775,2.25
2503,0.73
1125,0.4
16091,1.51
1007,0.41
18077,2.02
4258,0.9
3103,0.66
1941,0.56
1133,0.38
15065,2.08
984,0.35
689,0.34
4617,0.9
11646,2.01
5280,1.2
589,0.4
5951,1.23
2402,0.57
11387,1.13
459,0.34
7357,1.51
8930,1.34
3057,0.9
8521,1.2
4558,1.02
698,0.31
973,0.38
8616,1.21
422,0.3
3290,0.83
828,0.32
1155,0.44
1141,0.52
657,0.26
10584,1.5
7788,1.06
4234,0.9
696,0.37
526,0.3
828,0.36
698,0.31
2745,0.7
15996,2.02
1263,0.45
921,0.39
8979,1.31
7627,1.06
2376,0.5
4338,1.01
1250,0.6
843,0.32
11638,1.72
1753,0.53
4702,1
4707,1.01
3994,0.91
1180,0.57
7560,1.25
9475,1.2
13135,1.5
6659,1.03
992,0.42
2184,0.7
5543,1.01
6048,1
892,0.32
5405,1.07
1577,0.52
464,0.31
13117,2.02
2782,0.7
1076,0.41
12224,1.71
3758,0.94
1949,0.58
3514,0.81
548,0.31
12554,2.11
3678,1.1
7154,1.51
8688,1.01
727,0.4
490,0.31
8975,1.51
827,0.35
7493,1.09
10800,1.01
1944,0.72
4270,1.06
4566,1.04
646,0.31
709,0.3
421,0.3
1007,0.41
873,0.4
7109,1.52
5765,1.38
2594,0.71
672,0.32
1410,0.5
1107,0.41
1555,0.52
1160,0.44
1023,0.53
730,0.33
1340,0.54
7650,1.7
5636,1.1
1637,0.54
758,0.4
562,0.31
8561,1.12
6250,1.2
2385,0.72
11400,2
5894,1.23
1752,0.5
5242,1
4207,1.02
917,0.33
1770,0.56
565,0.26
5156,1.37
1154,0.5
2289,0.74
10268,1.72
12030,1.7
17408,2.05
11154,1.52
613,0.41
4903,1.06
6922,1.5
7062,1.51
17642,2.39
11557,1.53
1154,0.5
2030,0.72
2762,0.7
4668,1.03
2975,0.82
1367,0.41
6509,1.01
524,0.32
882,0.4
1079,0.5
13203,2
14892,1.72
2207,0.71
666,0.33
1783,0.53
752,0.38
1616,0.56
935,0.34
326,0.21
5350,1.02
1335,0.53
3967,0.92
921,0.35
1932,0.63
4642,1.01
1865,0.56
7175,1.15
492,0.33
4295,1
2375,0.71
2147,0.71
2066,0.56
1024,0.35
635,0.3
650,0.39
16807,1.73
828,0.28
525,0.38
3206,0.7
844,0.3
18509,2.09
1013,0.36
5368,1.22
1786,0.54
591,0.31
9176,1.21
14185,1.55
420,0.26
3443,1.22
943,0.43
3844,0.93
6968,1.2
1915,0.56
675,0.3
900,0.32
2331,0.75
3283,0.72
2952,0.7
1414,0.51
1822,0.69
1025,0.3
1830,0.53
5443,1.01
839,0.33
7714,1.5
814,0.3
12738,1.51
1662,0.67
907,0.35
1579,0.61
5430,0.91
4032,1
4731,1.5
4601,0.9
765,0.34
7026,1.02
14199,1.5
867,0.4
9513,1.51
8621,1.01
702,0.4
5013,0.9
1580,0.56
1689,0.52
1027,0.38
847,0.42
2609,0.55
2382,0.7
678,0.24
2022,0.8
1140,0.38
1179,0.42
713,0.31
372,0.31
1081,0.44
432,0.24
6307,1.03
7022,1.52
2056,0.51
9784,1.2
1065,0.39
607,0.29
2107,0.7
2079,0.52
4214,0.93
1295,0.41
9784,1.56
2565,0.73
4238,1.06
4691,1.1
4764,1.07
1111,0.7
855,0.38
778,0.3
7430,1.22
18692,2.43
579,0.4
2429,0.72
974,0.34
3170,1.09
1721,0.53
1816,0.57
5330,1.03
